updated_type,updated_subtype,longitude,latitude,count
ACCIDENT,Major,-87.9,41.98,4
ACCIDENT,Major,-87.89,41.98,3
ACCIDENT,Major,-87.89,41.99,1
ACCIDENT,Major,-87.88,41.96,1
ACCIDENT,Major,-87.88,41.98,19
ACCIDENT,Major,-87.88,41.99,3
ACCIDENT,Major,-87.85,41.97,1
ACCIDENT,Major,-87.85,41.98,6
ACCIDENT,Major,-87.84,41.94,1
ACCIDENT,Major,-87.84,41.95,2
ACCIDENT,Major,-87.84,41.96,1
ACCIDENT,Major,-87.84,41.98,14
ACCIDENT,Major,-87.84,41.99,1
ACCIDENT,Major,-87.83,41.94,1
ACCIDENT,Major,-87.83,41.98,17
ACCIDENT,Major,-87.82,41.98,28
ACCIDENT,Major,-87.82,42.01,2
ACCIDENT,Major,-87.81,41.94,1
ACCIDENT,Major,-87.81,41.98,40
ACCIDENT,Major,-87.81,42.0,1
ACCIDENT,Major,-87.81,42.02,1
ACCIDENT,Major,-87.8,41.77,2
ACCIDENT,Major,-87.8,41.78,1
ACCIDENT,Major,-87.8,41.79,7
ACCIDENT,Major,-87.8,41.8,4
ACCIDENT,Major,-87.8,41.92,2
ACCIDENT,Major,-87.8,41.98,35
ACCIDENT,Major,-87.79,41.8,4
ACCIDENT,Major,-87.79,41.93,1
ACCIDENT,Major,-87.79,41.94,1
ACCIDENT,Major,-87.79,41.97,2
ACCIDENT,Major,-87.79,41.98,72
ACCIDENT,Major,-87.79,41.99,3
ACCIDENT,Major,-87.79,42.0,4
ACCIDENT,Major,-87.78,41.79,1
ACCIDENT,Major,-87.78,41.87,36
ACCIDENT,Major,-87.78,41.91,1
ACCIDENT,Major,-87.78,41.92,1
ACCIDENT,Major,-87.78,41.94,1
ACCIDENT,Major,-87.78,41.95,1
ACCIDENT,Major,-87.78,41.96,1
ACCIDENT,Major,-87.78,41.98,42
ACCIDENT,Major,-87.78,41.99,1
ACCIDENT,Major,-87.78,42.0,3
ACCIDENT,Major,-87.77,41.78,1
ACCIDENT,Major,-87.77,41.79,1
ACCIDENT,Major,-87.77,41.87,43
ACCIDENT,Major,-87.77,41.88,1
ACCIDENT,Major,-87.77,41.89,1
ACCIDENT,Major,-87.77,41.91,1
ACCIDENT,Major,-87.77,41.92,1
ACCIDENT,Major,-87.77,41.93,2
ACCIDENT,Major,-87.77,41.97,49
ACCIDENT,Major,-87.77,41.98,25
ACCIDENT,Major,-87.77,42.0,4
ACCIDENT,Major,-87.76,41.78,1
ACCIDENT,Major,-87.76,41.79,1
ACCIDENT,Major,-87.76,41.8,2
ACCIDENT,Major,-87.76,41.81,11
ACCIDENT,Major,-87.76,41.87,76
ACCIDENT,Major,-87.76,41.88,2
ACCIDENT,Major,-87.76,41.91,2
ACCIDENT,Major,-87.76,41.92,3
ACCIDENT,Major,-87.76,41.94,2
ACCIDENT,Major,-87.76,41.95,1
ACCIDENT,Major,-87.76,41.96,1
ACCIDENT,Major,-87.76,41.97,88
ACCIDENT,Major,-87.76,41.99,1
ACCIDENT,Major,-87.76,42.0,1
ACCIDENT,Major,-87.75,41.79,1
ACCIDENT,Major,-87.75,41.82,9
