updated_type,updated_subtype,longitude,latitude,hour,count
ACCIDENT,Major,-87.9,41.98,14:00,1
ACCIDENT,Major,-87.9,41.98,15:00,2
ACCIDENT,Major,-87.9,41.98,20:00,1
ACCIDENT,Major,-87.89,41.98,02:00,1
ACCIDENT,Major,-87.89,41.98,19:00,1
ACCIDENT,Major,-87.89,41.98,20:00,1
ACCIDENT,Major,-87.89,41.99,06:00,1
ACCIDENT,Major,-87.88,41.96,07:00,1
ACCIDENT,Major,-87.88,41.98,00:00,3
ACCIDENT,Major,-87.88,41.98,01:00,1
ACCIDENT,Major,-87.88,41.98,02:00,1
ACCIDENT,Major,-87.88,41.98,05:00,1
ACCIDENT,Major,-87.88,41.98,12:00,1
ACCIDENT,Major,-87.88,41.98,14:00,1
ACCIDENT,Major,-87.88,41.98,17:00,2
ACCIDENT,Major,-87.88,41.98,18:00,2
ACCIDENT,Major,-87.88,41.98,19:00,2
ACCIDENT,Major,-87.88,41.98,21:00,2
ACCIDENT,Major,-87.88,41.98,22:00,1
ACCIDENT,Major,-87.88,41.98,23:00,2
ACCIDENT,Major,-87.88,41.99,12:00,1
ACCIDENT,Major,-87.88,41.99,16:00,2
ACCIDENT,Major,-87.85,41.97,11:00,1
ACCIDENT,Major,-87.85,41.98,02:00,1
ACCIDENT,Major,-87.85,41.98,20:00,2
ACCIDENT,Major,-87.85,41.98,21:00,1
ACCIDENT,Major,-87.85,41.98,22:00,1
ACCIDENT,Major,-87.85,41.98,23:00,1
ACCIDENT,Major,-87.84,41.94,22:00,1
ACCIDENT,Major,-87.84,41.95,22:00,2
ACCIDENT,Major,-87.84,41.96,23:00,1
ACCIDENT,Major,-87.84,41.98,00:00,1
ACCIDENT,Major,-87.84,41.98,05:00,1
ACCIDENT,Major,-87.84,41.98,10:00,1
ACCIDENT,Major,-87.84,41.98,11:00,1
ACCIDENT,Major,-87.84,41.98,14:00,2
ACCIDENT,Major,-87.84,41.98,20:00,1
ACCIDENT,Major,-87.84,41.98,21:00,4
ACCIDENT,Major,-87.84,41.98,22:00,3
ACCIDENT,Major,-87.84,41.99,23:00,1
ACCIDENT,Major,-87.83,41.94,09:00,1
ACCIDENT,Major,-87.83,41.98,00:00,1
ACCIDENT,Major,-87.83,41.98,01:00,2
ACCIDENT,Major,-87.83,41.98,04:00,2
ACCIDENT,Major,-87.83,41.98,10:00,1
ACCIDENT,Major,-87.83,41.98,11:00,1
ACCIDENT,Major,-87.83,41.98,15:00,4
ACCIDENT,Major,-87.83,41.98,18:00,1
ACCIDENT,Major,-87.83,41.98,19:00,1
ACCIDENT,Major,-87.83,41.98,20:00,1
ACCIDENT,Major,-87.83,41.98,21:00,1
ACCIDENT,Major,-87.83,41.98,23:00,2
ACCIDENT,Major,-87.82,41.98,00:00,1
ACCIDENT,Major,-87.82,41.98,01:00,1
ACCIDENT,Major,-87.82,41.98,03:00,1
ACCIDENT,Major,-87.82,41.98,04:00,1
ACCIDENT,Major,-87.82,41.98,05:00,3
ACCIDENT,Major,-87.82,41.98,09:00,1
ACCIDENT,Major,-87.82,41.98,11:00,1
ACCIDENT,Major,-87.82,41.98,12:00,5
ACCIDENT,Major,-87.82,41.98,15:00,1
ACCIDENT,Major,-87.82,41.98,17:00,1
ACCIDENT,Major,-87.82,41.98,19:00,1
ACCIDENT,Major,-87.82,41.98,20:00,2
ACCIDENT,Major,-87.82,41.98,21:00,7
ACCIDENT,Major,-87.82,41.98,22:00,2
ACCIDENT,Major,-87.82,42.01,15:00,1
ACCIDENT,Major,-87.82,42.01,22:00,1
ACCIDENT,Major,-87.81,41.94,22:00,1
ACCIDENT,Major,-87.81,41.98,00:00,7
ACCIDENT,Major,-87.81,41.98,01:00,2
ACCIDENT,Major,-87.81,41.98,02:00,1
ACCIDENT,Major,-87.81,41.98,03:00,1
ACCIDENT,Major,-87.81,41.98,04:00,2
ACCIDENT,Major,-87.81,41.98,13:00,1
ACCIDENT,Major,-87.81,41.98,16:00,2
ACCIDENT,Major,-87.81,41.98,17:00,3
ACCIDENT,Major,-87.81,41.98,18:00,2
ACCIDENT,Major,-87.81,41.98,19:00,2
ACCIDENT,Major,-87.81,41.98,20:00,2
ACCIDENT,Major,-87.81,41.98,21:00,2
ACCIDENT,Major,-87.81,41.98,22:00,6
ACCIDENT,Major,-87.81,41.98,23:00,7
ACCIDENT,Major,-87.81,42.0,00:00,1
ACCIDENT,Major,-87.81,42.02,03:00,1
ACCIDENT,Major,-87.8,41.77,11:00,1
ACCIDENT,Major,-87.8,41.77,22:00,1
ACCIDENT,Major,-87.8,41.78,06:00,1
ACCIDENT,Major,-87.8,41.79,00:00,1
ACCIDENT,Major,-87.8,41.79,18:00,2
ACCIDENT,Major,-87.8,41.79,20:00,2
ACCIDENT,Major,-87.8,41.79,22:00,1
ACCIDENT,Major,-87.8,41.79,23:00,1
ACCIDENT,Major,-87.8,41.8,00:00,1
ACCIDENT,Major,-87.8,41.8,01:00,1
ACCIDENT,Major,-87.8,41.8,21:00,2
ACCIDENT,Major,-87.8,41.92,14:00,1
ACCIDENT,Major,-87.8,41.92,20:00,1
ACCIDENT,Major,-87.8,41.98,03:00,1
ACCIDENT,Major,-87.8,41.98,04:00,2
ACCIDENT,Major,-87.8,41.98,06:00,1
ACCIDENT,Major,-87.8,41.98,09:00,1
ACCIDENT,Major,-87.8,41.98,10:00,3
ACCIDENT,Major,-87.8,41.98,12:00,2
ACCIDENT,Major,-87.8,41.98,13:00,1
ACCIDENT,Major,-87.8,41.98,14:00,1
ACCIDENT,Major,-87.8,41.98,17:00,1
ACCIDENT,Major,-87.8,41.98,18:00,3
ACCIDENT,Major,-87.8,41.98,19:00,5
ACCIDENT,Major,-87.8,41.98,20:00,7
ACCIDENT,Major,-87.8,41.98,21:00,4
ACCIDENT,Major,-87.8,41.98,22:00,1
ACCIDENT,Major,-87.8,41.98,23:00,2
ACCIDENT,Major,-87.79,41.8,11:00,1
ACCIDENT,Major,-87.79,41.8,12:00,1
ACCIDENT,Major,-87.79,41.8,13:00,1
ACCIDENT,Major,-87.79,41.8,16:00,1
ACCIDENT,Major,-87.79,41.93,11:00,1
ACCIDENT,Major,-87.79,41.94,23:00,1
ACCIDENT,Major,-87.79,41.97,00:00,1
ACCIDENT,Major,-87.79,41.97,19:00,1
ACCIDENT,Major,-87.79,41.98,00:00,3
ACCIDENT,Major,-87.79,41.98,03:00,1
ACCIDENT,Major,-87.79,41.98,04:00,1
